"STATION","NAME","DATE","ACMH","ACSH","AWND","FMTM","FRGB","FRGT","FRTH","GAHT","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WESD","WSF1","WSF2","WSF5","WSFG","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV03"
"USW00014826","FLINT FCWOS, MI US","1960-02-15",,,,,,,,,,"0.00","0.0","1.0",,"31","12",,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",,,,
"USW00014826","FLINT FCWOS, MI US","1960-02-16",,,,,,,,,,"0.01","0.1","1.0",,"41","27",,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",,,,
"USW00014826","FLINT FCWOS, MI US","1960-02-17",,,,,,,,,,"0.12","1.4","1.0",,"36","26",,,,,,,,,,,"    1",,,,,,,"    1",,,,,,,,,"    1",,,,
"USW00014826","FLINT FCWOS, MI US","1960-02-18",,,,,,,,,,"0.00","0.0","0.0",,"29","21",,,,,,,,,,,,,,,,,,"    1",,,,,,,,,"    1",,,,
"USW00014826","FLINT FCWOS, MI US","1960-02-19",,,,,,,,,,"0.00","0.0","0.0",,"27","18",,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",,,,
"USW00014826","FLINT FCWOS, MI US","1960-02-20",,,,,,,,,,"0.00","0.0","0.0",,"27","18",,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",,,,
"USW00014826","FLINT FCWOS, MI US","1960-02-21",,,,,,,,,,"0.08","2.3","0.0",,"28","19",,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",,,,
"USW00014826","FLINT FCWOS, MI US","1960-02-22",,,,,,,,,,"0.06","0.8","3.0",,"28","5",,,,,,"0.1",,,,,"    1",,,,,,,,,,,,,,,,"    1",,,,
"USW00014826","FLINT FCWOS, MI US","1960-02-23",,,,,,,,,,"0.00","0.0","2.0",,"25","1",,,,,,"0.1",,,,,"    1",,,,,,,"    1",,,,,,,,,"    1",,,,
"USW00014826","FLINT FCWOS, MI US","1960-02-24",,,,,,,,,,"0.00","0.0","2.0",,"26","2",,,,,,"0.1",,,,,"    1",,,,,,,"    1",,,,,,,,,,,,,
"USW00014826","FLINT FCWOS, MI US","1960-02-25",,,,,,,,,,"0.34","5.2","2.0",,"25","9",,,,,,"0.1",,,,,"    1",,,,,,,"    1","    1",,,,,,,,"    1",,,,
"USW00014826","FLINT FCWOS, MI US","1960-02-26",,,,,,,,,,"0.07","0.7","8.0",,"28","21",,,,,,"0.5",,,,,,,,,,,,,"    1",,,,,,,,"    1",,,,
"USW00014826","FLINT FCWOS, MI US","1960-02-27",,,,,,,,,,"0.00","0.0","6.0",,"27","15",,,,,,"0.5",,,,,,,,,,,,,,,,,,,,,"    1",,,,
"USW00014826","FLINT FCWOS, MI US","1960-02-28",,,,,,,,,,"0.01","0.2","6.0",,"27","6",,,,,,"0.5",,,,,"    1",,,,,,,"    1",,,,,,,,,"    1",,,,
